Article Title,Article Text,Article Date,Article Author,Article Sections,Article Category,Article Companies
Russia's Tainted Oil Dispute Drags On As Buyers Fight For Payouts | Daily Oil Bulletin ,"
(Reuters) –– Four major buyers of Russian oil are contesting the amount of compensation pipeline monopoly Transneft has offered over the supply of tainted bbls more than a year ago, three sources told Reuters, raising the prospect of legal action.
Up to five million tonnes of Russian oil were contaminated with organic chlorides on their way to Europe via the Druzhba pipeline and a Baltic port in April 2019, forcing Moscow to suspend exports to countries as far away as Germany.
Oil companies and traders from countries including France, Hungary and Kazakhstan, have held talks with Transneft over compensation for the oil, which had to be stored in special facilities, burned or heavily diluted.
Several have agreed to Transneft's payout of up to $15/bbl, but Russia's Rosneft, via its unit Rosneft Deutschland, Italy's Eni and traders Trafigura and Glencore want more, three trade sources said on condition of anonymity.
""They want two-to-three times more than Transneft is offering. This spat may last for years,"" one said.
In total, Rosneft, Eni, Trafigura and Glencore received a total of around one million tonnes of oil which, if not tainted, would have been worth nearly $500 million based on global prices at the time.
The tainted oil was almost worthless. The companies say their costs far exceeded Transneft's compensation offer as they had to pay for storage in tankers and incurred penalties from shipbrokers and buyers, the sources said
In the absence of a settlement, the companies' only option would be to sue Transneft in the courts, the sources said.
Rosneft declined to comment on “existing contract liabilities between the parties.”
Glencore and Trafigura also declined to comment. Eni and Transneft did not immediately reply to Reuters requests for a comment.
All companies were initially reluctant to accept Transneft’s compensation offer of $15/bbl but Kazakh firms, Hungary’s MOL and France's Total SA have since agreed to it.
Two other industry sources, who asked not to be named, said Royal Dutch Shell plc was also likely to accept $15/bbl, but had yet to sign a final deal.
""It is hard to prove the exact loss,"" one of the sources said. ""So $15 is still better than nothing.""
Shell declined to comment.
","Tuesday, October 27, 2020, 8:31 AM MDT", ,"
 
Markets
","
 
International
, 
Legal
, 
Pipelines
","
 
Royal Dutch Shell plc
, 
TotalEnergies SE
"
Alberta Government To Stop Production Curtailment | Daily Oil Bulletin ,"
The Alberta government will stop setting monthly oil production limits to allow producers to utilize available pipeline capacity, the province announced this morning.
While the government will extend its regulatory authority to curtail oil production through December 2021, it will not set production limits due to 16 per cent of Alberta’s crude oil production remaining offline, down from 22 per cent at the start of the COVID-19 pandemic.
At this time the Alberta government does not plan to resume production limits.
The curtailment program was first announced in late 2018 by the former NDP government in response to a differential that had widened into the $50s at one point.
“Maintaining the stability and predictability of Alberta’s resource sector is vital for investor confidence as we navigate the economic conditions brought on by the pandemic, the commodity price crisis and the need for pipelines. This purposeful approach serves as an insurance policy, as it will allow Alberta to respond swiftly if there is a risk of storage reaching maximum capacity while enabling industry to produce as the free market intended,” said Energy Minister Sonya Savage.
The government will continue to press for the “timely completion of vital pipeline projects, the only long-term solution for protecting the value of our energy resources.”
Since January 2019, production limits have aligned production with export capacity, protecting the value of the province’s oil by helping prevent Canadian crude from selling at large discounts, the province said. The limits were intended as a short-term measure, but ongoing delays to pipeline projects have led to the monthly production limits continuing through November 2020.
“These delays mean that Alberta’s production capabilities still exceed its takeaway capacity, but – due to the COVID-19 pandemic and the resulting economic downturn — Alberta oil companies have been producing well below the established production limits for several months,” the province said.
The completion of long-awaited pipelines — including Keystone XL, the Trans Mountain expansion, and Enbridge Inc. Line 3 — “will enhance the province’s permanent ability to balance production and takeaway capacity, helping to ensure Alberta’s resources are exported at full value.”
The government said it will monitor production, inventories, pipeline capacity and rail shipments to ensure that production does not exceed what the province can export. Current forecasts show that inventories are expected to remain low, with sufficient export capacity to allow the system to operate efficiently on its own well into 2021.
Should forecasts show storage inventories approaching maximum capacity, the government could put production limits back in place, giving industry 30 to 60 days of advance notice to enable companies to plan their production, the province said.
","Friday, October 23, 2020, 5:18 AM MDT", ,"
 
Markets
, 
Oilsands
","
 
Crude-by-rail
, 
Government/Policy
, 
Pipelines
, 
Production
, 
Regulatory
", 
CBM To The Rescue: Avatar Team Recommends Data-Driven Asset Maintenance Strategy | Daily Oil Bulletin ,"
Editor's Note: This article is one in a series that will showcase final presentations from this year’s Avatar Program — an industry-wide leadership, training and collaboration forum held virtually this summer. A partnership between Beaver Drilling Ltd., the Young Pipeliners Association of Canada (YPAC) and the University of Calgary, the program was designed to advance innovative solutions to the oil and gas industry and create new business lines, and engage young professionals. These articles will run each Wednesday.
There were nine teams in total and today we feature the presentation of our seventh team. Read all the articles in this special editorial series here.

Condition-based maintenance (CBM) “sets in motion a shift” in understanding and applying operational data, and it is one Avatar Program team’s core recommendation for energy companies to make decisions on their assets.
“What we propose is to shift our maintenance strategy from a reactive to a proactive approach — to leverage and rely more heavily on data to see immediate efficiencies and effectiveness,” Aaron Cho, transformation professional, told a panel of industry experts. “We should be applying the same principles we’ve already applied to cars and other industries onto our industry. It is only through this mindset that we can remain competitive through our reality.
“The bottom line is that failure on a single piece of critical equipment can be catastrophic and justify the entire cost of implementing CBM.”
As a maintenance strategy that monitors the actual condition of an asset to decide what maintenance must be done, CBM looks for certain indicators that show signs of decreasing performance or upcoming failure. Checking equipment for these indicators is applicable to mission critical and non-mission critical assets. It allows for optimal scheduling of preventive and corrective actions, which reduces total cost of ownership on an asset.
Rebecca Lloyd, senior control centre engineer at Enbridge Inc., said CBM fits naturally at the intersection of asset management and maintenance planning, using data as a resource, starting with asset owners providing input on equipment criticality. Using failure mode and effects analysis and fault tree analysis, technical experts then map out how this equipment can fail.
“With raw or manipulated data, an indicator for each failure mode is developed. We ask ourselves what failures would look like in the data we have, whether it be excess vibration or temperature, thresholds for each indicator are established, and their relative importance is weighted. In this way, we have both individual indicators and a means to aggregate data for visualization and analytics.”
Linking new data insights to the maintenance planning process culminates in automatic work-order generation on equipment condition, she added, which is how companies can use CBM for data-driven maintenance decisions.
“Imagine that this exists for every piece of critical equipment on your system, and any time a work order red lines, work orders are automatically sent to correct certain issues. This is the evidence that maintenance is needed, whether it be more or less often than preventative measures would suggest.”
Potential risk matters
Much of CBM’s value derives from controlling for potential risk, according to Graeme Marshman, chemical engineer at Spartan Control Ltd., but quantifying potential risk is difficult. Reducing asset downtime and increasing uptime, allocating resources through more efficient planning, increasing equipment reliability with lifetime, optimizing data-driven decisions and ESG-related intangibles all comprise improved “business-as-usual operations” through CBM.
“Let’s compare comparable benefits of CBM in the oil and gas industry. [Let’s say] an asset generates $3 million per day, and has a five-per-cent downtime for maintenance. If CBM is able to reduce the downtime by an additional 10 per cent, then that would equate to a potential increase in revenue of $5.5 million annually for that asset alone.”
A good example of where industry applies CBM right now is on integrity digs with respect to midstream firms, he said, with crews relying on data gathered through asset inspections used to model for predictive failures, which is key for scheduling digs.
“It is being used at a small scale, and the option to expand on that further in order to be able to encompass more of the assets that would drive more value. We’ve started with really small projects, and it’s really the full implementation and connecting of those different databases where we can learn more about assets to do better predictive maintenance.”
A competitive advantage
Many industries are increasingly accepting CBM is a competitive advantage, noted Gabrielle Vaillancourt, business analyst at TC Energy Corporation, and finding a way to combine databases is key to implementation.
“In the current economic environment, companies have to remain focused on operations and efficient operating methods if they want to remain competitive,” she told the industry experts. “When it comes to implementing CBM, start small and let the scope grow once you have a [dependable] understanding of your data.”
","Wednesday, October 21, 2020, 9:41 AM MDT",Carter Haydu,"
 
Technology
","
 
OHS
, 
Pipelines
", 
Tribes Make New Move To Shut Down Dakota Access Pipeline | Daily Oil Bulletin ,"
(The Canadian Press) –– Native American tribes opposed to the Dakota Access Pipeline once again have asked a federal judge to stop the flow of oil while the legal battle over the line's future plays out.
The Standing Rock Sioux and other tribes succeeded on their first attempt, only to have an appeals court overturn U.S. District Judge James Boasberg’s shutdown order earlier this year. Now, they're asking the judge to clarify his earlier ruling to satisfy the appellate judges and then to again order the line to cease operations, the Bismarck Tribune reported.
The tribes argue that potential harm to their water supply outweighs any economic impacts of shutting down the line, which has been moving North Dakota oil to Illinois for more than three years.
“The Tribes are irreparably harmed by the ongoing operation of the pipeline, through the exposure to catastrophic risk, through the ongoing trauma of the government's refusal to comply with the law, and through undermining the Tribes' sovereign governmental role to protect their members and respond to potential disasters,'' attorneys Jan Hasselman and Nicole Ducheneaux wrote in a Friday filing.
Tribes fear a spill into the Missouri River just north of the Standing Rock Reservation would pollute their water supply. Pipeline operator Energy Transfer and the Army Corps of Engineers both maintain the pipeline is safe. Prolonged protests in 2016 and 2017 drew thousands of people to camps near the river crossing and resulted in hundreds of arrests.
U.S. Department of Justice spokeswoman Danielle Nichols declined to comment Monday on the tribes’ filing. The Corps and Energy Transfer have until Nov. 20 to file a formal response.
Boasberg, who is overseeing the four-year-old lawsuit filed by the tribes, ordered an extensive environmental study last spring because he felt previous, less-extensive environmental analysis by the Corps left lingering questions.
Boasberg in July revoked the easement that allows for the river crossing and ordered the pipeline shut down until its environmental soundness was proven. A federal appeals court allowed oil to keep flowing, however, ruling that Boasberg hadn't justified a shutdown. That same appeals court is now determining whether to uphold his decision regarding the study.
Tribes are asking Boasberg to issue an injunction to shut down the pipeline while the legal fight plays out.
","Wednesday, October 21, 2020, 7:58 AM MDT", ,"
 
ESG
, 
Markets
","
 
Environment
, 
Indigenous
, 
Pipelines
, 
U.S.
", 
Ovintiv To Start Bi-Directional Flow On Tupper Hythe Pipeline | Daily Oil Bulletin ,"
Ovintiv Canada ULC notified the Canada Energy Regulator (CER) of its intent to start the bi-directional flow on the Tupper Hythe pipeline between the existing compressor stations at 15-31- 074-13W6M and a-029-H/93-P-09.
“While this work does not meet the cost threshold (>$1 million) as required by the streamlining order, Ovintiv is nevertheless providing notice of this project,” the company said.
Ovintiv requires bi-directional flow on the existing 23-kilometre NPS 4 Tupper Hythe line for operational and maintenance purposes, in order to provide an alternative source of fuel gas for its Dawson South assets located at and downstream of the a-029-H/93-P09 compressor station
The current sweet fuel gas supply tied into the NPS 4 Tupper Hythe line splits at Ovintiv’s d-064-I/93-P-08 riser site, with volumes flowing northbound to a-029-H and eastbound to 15-31. Bi-directional flow capabilities in the NPS 4 Tupper Hythe line will allow for Hythe Gas Plant (11-18-074-12W6M), located east of 15-31, to be a new source of sweet fuel gas. The fuel gas line from Hythe Plant is connected to the NPS 4 Tupper Hythe line via a four-inch double block and bleed (DB&B) valve at 15-31 that is currently carseal closed.
","Wednesday, October 21, 2020, 3:32 PM MDT", ,"
 
Gas/LNG
","
 
Natural Gas
, 
NGLs
, 
Pipelines
, 
Regulatory
", 
Federal Government Approves NGTL 2021 | Daily Oil Bulletin ,"
The federal government has approved the NOVA Gas Transmission Ltd. (NGTL) 2021 System expansion project with 35 conditions.
The government was to have decided on the project by May 2020 but the deadline was extended to no later than Oct. 19 at the request of several Indigenous communities due to the COVID-19 pandemic.
In making this decision, the federal government has made amendments to the Canada Energy Regulator's (CER) conditions for approval, related to caribou and Indigenous engagement.
“In particular, we strengthened five conditions proposed by the regulator and added one new condition in order to better address impacts to section 35 Indigenous rights and help mitigate the disruption of the project's construction on caribou habitat,” the government said.
As part of these updated conditions, NGTL will now be required to restore 3,840 hectares of caribou habitat (30 times the size of the habitat impacted by the project) and seek to establish an Indigenous Working Group to assist with the planning for restoration and monitoring for the protection of the Little Smoky Caribou range.
“We also approved a new accommodation measure to expand eligibility for the Terrestrial Cumulative Effects Initiative to monitor the cumulative impacts on the environment,” the government said.
In total, the proponent must comply with 35 binding conditions related to safety, environmental and wildlife protection, Indigenous engagement, and protection or Indigenous rights and interest.
Over the past 17 months, Natural Resources Canada undertook extensive Crown consultations as part of fulfilling our duty to consult and, where appropriate, accommodate and mitigate potential impacts on the rights and interests of Indigenous communities. 
“The $2.3-billion project is of significant importance in Alberta and for economies across the country. It will help power the successful restart and recovery of our economy by creating up to 2,920 jobs and contributing about $1.2 billion to Alberta's GDP. NGTL 2021 will give natural gas producers better access to markets for their products. The project will also help facilitate the phase out of coal-fired electricity by 2030,” the government said.
NGTL expects that this approval will allow it to immediately progress construction activities in accordance with regulatory requirements, with compressor station field work expected to begin in December 2020 and pipeline construction activities expected to start in January 2021.
 “We’re pleased to be moving forward with this project,” said Tracy Robinson, executive vice-president, president Canadian Natural Gas Pipelines and president Coastal GasLink. “This capacity is vital to our customers, our industry and to the people who rely on the energy we deliver. We estimate this project will create up to 5,500 well-paying construction jobs for both Indigenous and non-Indigenous workers and will bring a much-needed economic boost to communities across Canada, especially in Alberta.”
Once facilities are placed in service, which will occur through 2021 and into 2022, the 2021 NGTL System expansion project will provide critical incremental capacity to customers.
This project is a critical component of the $9.9 billion NGTL infrastructure program underway, which will add 3.5 bcf/d of incremental delivery capacity between 2020 and 2024.
","Tuesday, October 20, 2020, 12 AM MDT", , ,"
 
Indigenous
, 
Natural Gas
, 
Pipelines
, 
Regulatory
", 
Minnesota Judge Upholds State Decision On Enbridge Line 3 Pipeline Replacement | Daily Oil Bulletin ,"
(Reuters) –– A Minnesota judge on Friday ruled that the state’s pollution regulator and Enbridge Inc. used proper methods for water crossing for its Line 3 oil pipeline replacement, clearing another hurdle for the project that has faced years of delay.
Judge James LaFave upheld the draft water quality certificate that Minnesota Pollution Control Agency issued to Enbridge in February, quashing challenges by activist groups and indigenous bands that had raised concerns regarding Enbridge’s intentions to protect streams and wetlands the pipeline crosses.
Line 3, built in the 1960s, carries less oil than it was designed for because of age and corrosion. Replacing it would allow the company to boost flow from a Canadian oil hub in Edmonton to Midwest refiners.
The report said the petitioners have failed to prove that the agency and Enbridge “undercounted the full acreage of wetlands that will be physically altered by trenching.”
A shortage of pipelines has weakened Canadian oil prices in recent years, but capacity became ample this year after deep oil production cuts during the COVID-19 pandemic.
Enbridge said on Friday it continues to work with permitting agencies for the timely issuance of remaining permits in order for construction to start before year end 2020.
","Monday, October 19, 2020, 8 AM MDT", ,"
 
Markets
","
 
Legal
, 
Pipelines
, 
Regulatory
, 
U.S.
","
 
Enbridge Inc.
"
Transforming Waste Into Renewable Natural Gas | Daily Oil Bulletin ,"
Canada’s largest city is poised to be one of the first cities in North America to harness the green energy potential of its municipal organic waste by turning it into pipeline-ready renewable natural gas.
Last year the City of Toronto installed biogas-upgrading equipment at its Dufferin Organics Waste Management Facility to clean and condition the raw biogas (produced from processing organics) to turn it into renewable natural gas (RNG) through a partnership with Enbridge Gas Inc.
The first molecule of RNG is anticipated to flow through the city’s pipeline distribution system this month.
Carlyle Khan, acting deputy general manager, Solid Waste Management Services for the municipality, said the Dufferin site will produce approximately 3.38 million cubic metres of RNG a year.
A second organics site is currently in the pre-design phase and is expected to be operational by 2022. Planning is also underway for the city’s Green Lane Landfill site, with the Keele Valley Landfill site to follow and most likely to begin work in 2021.
An estimated 65 million cubic metres of RNG per year will be produced once all sites are fully operational.
“Originally, the city was looking at using a portion of the RNG produced to fuel waste collection trucks and potentially selling the rest to generate revenue that could be reinvested into green waste management infrastructure projects,” said Khan. “In 2019, city council declared a climate emergency and adopted a stronger emissions reduction target for Toronto — net zero by 2050 or sooner — accelerating and strengthening the goals outlined in the city’s TransformTO Climate Action Plan.”
To help achieve these targets, Solid Waste Management Services shifted its strategy from potentially selling RNG to third party consumers to an approach that allows the municipality to realize the environmental benefits of the RNG — fuelling the city’s 150 solid waste collection trucks, said Khan.
In July, Toronto City Council adopted Citywide Greenhouse Gas Reduction Strategy through Blending Renewable Natural Gas and Natural Gas, a Low-carbon Fuel Option, a report that allows the RNG produced at organics processing facilities to be blended with conventional natural gas used by Toronto’s agencies, boards and corporations to create a low-carbon fuel blend of RNG/natural gas that will allow for increased greenhouse gas emission reductions across the city.
The city and its agencies, boards and corporations purchase a combined 110 million cubic metres of conventional natural gas annually.
Khan said the production of RNG has the environmental benefit of closing the carbon loop by capturing the biogas produced instead of flaring it off into the atmosphere, upgrading the biogas to RNG pipeline quality and using the RNG to displace a non-renewable fossil fuel with a renewable green fuel.
“Harnessing RNG helps support the city’s long-term waste management strategy and moves the city closer to a closed-loop approach where organics collection trucks can ultimately be powered by the waste stream they collect,” she said. “It also supports the goals of TransformTO, the city’s Climate Action strategy.”
Robert Dysiewicz, Enbridge Gas Inc.’s RNG manager, business development for Ontario, said when thinking about renewable natural gas, it is about looking at the entire cycle of how organic waste is treated.
“In most countries [what we did traditionally] is put [organic waste] in our landfills along with all the other garbage.
“Over time it starts to decompose and starts to release a bunch of things, one of which is methane. We realized that if we capture that and put it into an organic digester instead of releasing what we capture, and improve it, it becomes … pipeline ready gas.”
RNG leverages existing infrastructure as opposed to new infrastructure required for renewables such as wind and solar.
“From a utility perspective the more renewable content we can move into our pipelines, the better it is for us as an energy company because we have a role to play in the transition to an increasingly more renewable fuel content,” said Dysiewicz. “Any time we can introduce renewable content into a system that’s an advantage for society ... Any time we take steps towards projects like this — whether it is renewable natural gas or clean hydrogen — all of those concepts carry a benefit for us and society and a country from a competitive standpoint.”
Enbridge Gas is currently working to identify and develop new sources of RNG to add to its pipeline infrastructure. Several municipalities in Ontario have either constructed or are in the process of building digesters to create raw energy from waste.
A greener Canada 
RNG and biogas projects are increasingly being developed and operated across Canada — primarily in Ontario, British Columbia and Quebec — in advance of incoming regulations including the Clean Fuel Standard, which sets prescriptive renewable fuel mandates and covers all fossil fuels in Canada, and the desire to reduce emissions.
According to the Canadian Biogas Association there are more than 100 operating biogas projects generating renewable electricity and heat, and close to a dozen RNG facilities across Canada.
Last year the Quebec government mandated a minimum quantity of RNG to be delivered by natural gas distributors at one per cent in 2020, and five per cent in 2025. Then in March 2020, the Quebec government announced $70 million in financial assistance to support renewable natural gas production in the province, of which $45 million will be used to develop eight RNG production projects.
Stéphanie Trudeau, Énergir’s executive vice–president, Québec, said the financial assistance will help accelerate the development of these types of renewable energy projects.
“Renewable natural gas is a clean, local energy that helps combat greenhouse gases and provides economic benefits wherever projects are developed. These projects are perfectly in line with the economic recovery launched by the Government of Québec,” she said.
Vancouver-based G4 Insights Inc. recently completed its field demonstration project that took forestry industry biomass and transformed it into pipeline grade RNG in Edmonton. A large-scale, commercial demonstration of RNG from forest biomass, preferably in Canada, is the next step, said the company.
ATCO Gas and Pipelines Ltd. is also delving into the RNG waters.
The company received $16 million in grant funding for a commercial demonstration project to produce RNG from biogas at an agricultural operation. The RNG will be injected into the Alberta pipeline system where a portion will be used within Alberta’s compressed natural gas fleet vehicles and commercial applications. The company is currently in negotiations with Future Fuel RNG, and is expected to sign an agreement in the coming months.
Already ahead of many companies in Alberta, Lethbridge Biogas announced in July it was allocating $7 million (with Lethbridge County) to expand the company’s existing facility to purify the biogas into pipeline-grade biomethane or RNG, which will be injected into ATCO’s natural gas grid.
Lethbridge Biogas director of operations Stefan Michalski, who also works on the national level as co-chair of the Canadian Biogas Association, said in a release the expansion is another significant milestone in the history of the project. The facility is scheduled to turn on the RNG taps by mid-2021.
“A lot of players in the RNG market were interested to become part of this expansion, as RNG has become a highly sought-after commodity to reduce the carbon footprint in the natural gas supply chain,” he said.
The RNG produced at the facility will also be supplied to FortisBC under a long-term supply agreement by mid-2021. “With this in place, we will be able to expand on future feedstock opportunities and will be a reliable partner for sustainable disposal of organic resources in the community for decades to come,” said Michalski.
British Columbia leading the way in RNG
In March 2017, the B.C. government amended the Greenhouse Gas Reduction Regulation to include a renewable portfolio allowance of up to five per cent RNG on the natural gas system, according to the Canadian Biogas Association. Currently there are five active and two upcoming RNG projects in British Columbia.
FortisBC currently has 20 agreements for projects, of which five are currently operational in the province. The company is investing $4.9 million per year through its Clean Growth Innovation Fund to fund projects with partnerships such as its renewable gas initiatives.
Recently the company announced a project with the Capital Regional District in British Columbia to use the Hartland Landfill to make RNG. As well it has partnered with REN Energy International Corporation on a project that converts wood waste from forestry operations, sawmills and other wood product manufacturers to RNG at a new facility in Fruitvale, B.C.
The facility is expected to be in service in 2021, and when operational it will produce more than one million gigajoules of RNG annually.
Scott Gramm, FortisBC’s manager of RNG, said the company’s goal is to have 15 per cent of its total gas supply coming from renewable sources by 2030 and to have a 30 per cent reduction in emissions by 2030, which is in line with commitments in the province’s CleanBC promise.
Gramm said the company is very excited about the potential of using wood waste — wood chips, sawdust et cetera — as a feedstock because British Columbia is a forest-rich province. Methane produced from the wood waste will be exactly the same as the methane found in conventional natural gas.
“What’s unique about that is this is the first time anybody has put together [a] process from wood all the way to pipeline quality gas on a commercial scale in Canada,” he said. “No one has done that before. They are currently doing design work so we have an agreement with them for long-term purchase of renewable natural gas and we have British Columbia Utilities approval for that contract. This is a very exciting opportunity because it opens a door to the much bigger opportunity in terms of volume.”
The utility company has been researching RNG for more than 10 years. When it first started, the company introduced a voluntary RNG program for its customers.
Today, the company has suspended new enrollments because the demand is outstripping the supply, said Gramm.
“[RNG] makes use of a safe, reliable energy system that has been in place for a lot of years especially in British Columbia, Saskatchewan and Alberta,” he said. “That infrastructure is well-managed, well-maintained and well-established.”
Jas Baweja, FortisBC corporate communications specialist, added the company is working toward a 15 per cent goal by 2030, which means partnering with municipalities and involves gaining access to landfills and waste management facilities.
","Friday, October 16, 2020, 6:47 AM MDT",Crystal Rhyno,"
 
ESG
, 
Gas/LNG
, 
Technology
","
 
ESG
, 
Natural Gas
, 
Pipelines
, 
Renewable Energy
", 
"Phillips 66 Needs To Offer Evidence To Support Toll Complaint, Says Keystone | Daily Oil Bulletin ","
TransCanada Keystone Pipeline GP Ltd. has repeated an earlier request to the Canada Energy Regulator (CER) that it dismiss without further process a complaint from Phillips 66 Canada Ltd. about a proposed increase in 2020 variable tolls on the Keystone pipeline system in Canada unless it files evidence to support the complaint.
“Phillips Canada filed the complaint and as the applicant to its complaint, it has the onus to support its application,” says Keystone in a letter to the commission. Phillips has provided no evidence to support the suggestion that the proposed toll is not just and reasonable nor has it identified any specific costs reflected in the variable tolls that it believes were not prudently incurred, said Keystone in response to a CER request for comments on the process. 
“The mere fact that forecast costs are increasing does not make the subject toll unjust or unreasonable,” said Keystone. “In fact, over the past 10 years, Keystone’s variable toll has increased and decreased on numerous occasions, without complaint.”
In its complaint, Phillips Canada said TC Canada has not provided sufficient or timely supporting factual or financial information such that shippers may determine whether the costs included in the variable toll and the resulting increases are appropriate, or whether the 2020 variable tolls are just and reasonable. Husky Oil Operations Limited and Coffeyville Resources Refining & Marketing, LLC (CRRM) expressed their support for the application.
Keystone also told the CER that the scope of any process dealing with the complaint should be focused on the issues of whether the determination of the estimated 2020 variable tolls was done in accordance with the approved methodology as agreed to by shippers.
The company noted that in 2007 and 2008, the National Energy Board (NEB) approved the tolls and tariff applied for by Keystone, finding that the committed tolls, both fixed and variable, were just and reasonable given that Keystone’s proposed methodology for establishing committed tolls resulted from negotiations between sophisticated arm’s-length parties and that no party raised objections. Parties agreed to pay the contract tolls as set forth in the contract, including tolls determined with the annual adjustment mechanism, said the company.
The proposed toll is a routine annual filing submitted in accordance with toll design methodology approved in the Keystone decisions, according to Keystone.
“An interim toll is submitted annually in accordance with and subject to the terms set forth in contractual agreements as agreed to by Phillips Canada, Husky and CRRM,” it said. “Phillips Canada is effectively trying to amend the terms of its long-term contract. It is improperly attempting to transform a commercial dispute into a regulatory matter.”
The costs reflected in the variable tolls reflect the prudently incurred costs to operate the Keystone pipeline system during the period — without which transportation service would have been impacted, said Keystone. “Phillips Canada has not identified any specific costs reflected in the variable tolls that it believes were not prudently incurred. Further, the variable toll was calculated in accordance with the approved toll methodology and is subject to a true-up mechanism.”
In a Dec. 27 order, the CER suspended the Keystone application for a proposed 22.5 per cent increase in variable tolls in Canada and made the existing tolls interim effective Jan. 1, 2020.
However, by not allowing the proposed roll to go into effect, shippers are not paying the estimated costs required to operate the pipeline, said the company. “Keystone’s proposed toll is intended to reduce the final true-up and mitigating toll shock. The longer that the current interim toll is in effect, the greater the potential toll shock to shippers when the true-up mechanism is applied due to the under collection relative to the estimate.”
Keystone also took issue with the commission’ s characterization of its proposed toll as an “application.” The NEB, it said, determined that Keystone’s committed and uncommitted tolls are determined with reference to negotiated agreements rather than on a cost of service basis and therefore the company is required to comply with all toll filings pursuant to the NEB Act.
 The proposed toll was not filed for approval but as a tariff in effect with an effective date of Jan. 1, 2020, said Keystone. “Therefore, the only application before the commission is that from Phillips Canada to suspend the proposed toll through the relief requested in its complaint.”
","Friday, October 16, 2020, 7:01 AM MDT",Elsie Ross,"
 
Markets
","
 
Pipelines
, 
Regulatory
", 
CER Asked To Approve Alternative Route For Trans Mountain Expansion In Coldwater Valley | Daily Oil Bulletin ,"
Trans Mountain Pipeline ULC has opted for an alternate route for its expansion project in response to concerns from the Coldwater Indian Band that the approved corridor could present a risk to the reserve’s underground water supply, the main source of its water.
The company is seeking Canada Energy Regulator (CER) approval for the West Alternative Route, a corridor along the west side of the Coldwater Valley to the northwest of the reserve near Merritt, British Columbia to avoid risks to the greatest extent possible to the main supply of water sourced from an aquifer underlying the reserve. The approved Eastern Route corridor is on the east side of the reserve.
In the variance application, Trans Mountain said it has confirmed Coldwater’s support of the application, subject to further engagement with the community. The company said it also has engaged with all other potentially affected Indigenous groups, landowners and other stakeholders regarding the proposed re-route and is not aware of any outstanding concerns. Trans Mountain will continue to engage with these parties throughout the commission’s review process and the life of the project.
Trans Mountain pointed out that work on the expansion project is well underway with the current anticipated in-service date no later than Dec. 31, 2022. In order to meet this timing, construction-related activity on the West Alternative Route, including mobilization, should begin by August 2021, it said.
 The West Alternative Route includes two trenchless crossings of the Coldwater River that require significant lead time and are subject to execution risks, which can prolong execution timelines, said Trans Mountain. In addition, tree clearing can only practicably be achieved outside of the restricted activity period associated with migratory bird nesting  (March 26 through Aug. 17), it said.
Trans Mountain anticipates construction of the expansion project and related activities for the extent of the West Alternative Route are anticipated to take approximately 11 months.  These construction activities must be complete prior to undertaking hydrostatic testing, valve installation and commissioning activities, all of which must be done prior to beginning commencing operations by the end of 2022.
Should the revised route require federal cabinet authorization, Trans Mountain said it believes a CER recommendation on the variance application is required by April 2021 to enable a cabinet decision and, if approved, an order in council issued by July 2021. An amended certificate, orders and ancillary approvals from the commission would be required shortly thereafter to enable construction to begin in August 2021.
Trans Mountain said it believes that the requested 10-month processing time is achievable in the circumstances, “given the extensive regulatory history and precedent on the project, the fact that the variance application reflects an accommodation of Indigenous concerns and the lack of express Indigenous or stakeholder opposition to the West Alternative Route to date.”
The company also expects that the process would require co-ordination of Indigenous consultation efforts with the federal Ministry of Natural Resources and the province of British Columbia.
Trans Mountain said that to support an efficient regulatory process and timely decision, it intends to file and serve its plan, profile and book of reference (PPBoR) for the West Alternative Route by Jan. 31, 2021 and to submit revisions or additions to applicable pre-construction project condition compliance filings by April 30, 2021.
","Friday, October 16, 2020, 10:02 AM MDT",Elsie Ross, ,"
 
Indigenous
, 
Pipelines
, 
Regulatory
", 
Illinois Approves Expansion Of Dakota Access Oil Pipeline | Daily Oil Bulletin ,"
(Reuters) –– Illinois regulators late on Wednesday approved an expansion of the Dakota Access oil pipeline, the largest pipeline running out of North Dakota’s Bakken shale basin, rejecting a bid by environmental groups to block the project.
The Dakota Access Pipeline can transport about 570,000 bbls/d of crude oil from North Dakota to the Midwest, with connections to the Gulf Coast. It had been a source of controversy prior to its completion in 2017, and there is an ongoing legal challenge over whether the line should remain operational after a federal court earlier this year scrapped a key permit.
The Illinois approval is separate from that case.
In an order on Wednesday, the Illinois Commerce Commission (ICC) said additional pumping stations and equipment needed for the pipeline's capacity to be nearly doubled to 1.1 million bpd are necessary and would promote the security and convenience of the public.
""We are pleased with the decision by the ICC ... this now allows us to proceed with the optimization of the pipeline and allows our labor union partners to go to work,"" Energy Transfer spokeswoman Lisa Coleman said in an email.
Environmental groups including Save Our Illinois Land and the Sierra Club, which opposed the expansion, had told the ICC that the oil price downturn caused by the coronavirus pandemic reduced the need for the expansion.
Sierra Club did not immediately respond to a request for comment.
Last month, Energy Transfer told investors it expects to have expanded capacity available on the line by the third quarter of 2021.
In July, the U.S. district court for the District of Columbia determined that the pipeline violated environmental law and vacated its permit to operate on federal land. The company has appealed the district court's decision.
","Thursday, October 15, 2020, 10:58 AM MDT", ,"
 
Markets
","
 
Pipelines
, 
U.S.
", 
